legacyProductId,legacyCyberbizId,productName,englishName,originalDisplayName,legacyUrls,sourceIds,productType,collection,category,variantType,parentProductId,originalDescription,originalSpecifications,expectedImageCount,detectedImageReferences,downloadedImageCount,astroSlug,currentAstroFile,migrationStatus,reviewStatus,notes
DSP-0064,57338474,御璽之環,Regal Seal,御璽之環｜Regal Seal,https://www.dsdiamond.com.tw/products/男戒06,SRC-0115 | SRC-0125 | SRC-0278 | SRC-0288 | SRC-0369 | SRC-0418 | SRC-0447 | SRC-0557 | SRC-0567 | SRC-0637,男戒,ring-man | 經典男戒,男士鑽戒 | 經典男戒,,,,,4,4,4,regal-seal,,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0065,58323363,晨曜方華,Aurora Cushion Gleam,晨曜方華 Aurora Cushion Gleam,,SRC-0151 | SRC-0161 | SRC-0335 | SRC-0344,戒指,彩色鑽石專區 | 黃鑽,彩色鑽石專區 | 黃鑽,,,,,0,0,0,aurora-cushion-gleam,src/content/products/aurora-cushion-gleam.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0066,58811279,晨曦之光,Morning Glow,晨曦之光｜Morning Glow,,SRC-0150 | SRC-0160 | SRC-0201 | SRC-0340 | SRC-0349 | SRC-0609,戒指,彩色鑽石專區 | 求婚 | 黃鑽,彩色鑽石專區 | 黃鑽,,,,,0,0,0,morning-glow,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0067,58378153,晨曦之舞,Akatsuki Dance,晨曦之舞｜Akatsuki Dance,,SRC-0026 | SRC-0033,耳環,earring,耳環,,,,,0,0,0,akatsuki-dance,src/content/products/akatsuki-dance.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0068,57337025,晨曦心語,Whisper of Dawn,晨曦心語｜Whisper of Dawn,,SRC-0202 | SRC-0610,戒指,求婚,戒指,,,,,0,0,0,whisper-of-dawn,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0069,57339029,晨曦蜜語,Rosé Whisper,晨曦蜜語｜Rosé Whisper,,SRC-0045 | SRC-0055 | SRC-0152 | SRC-0162 | SRC-0217 | SRC-0227 | SRC-0487 | SRC-0497,項鍊,necklace | 彩色鑽石專區 | 粉鑽,項鍊 | 彩色鑽石專區 | 粉鑽,,,,,0,0,0,rose-whisper,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0070,57339039,雫月之心,Lune Drop,雫月之心｜Lune Drop,,SRC-0061 | SRC-0503,項鍊,necklace,項鍊,,,,,0,0,0,lune-drop,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0071,57597640,尊耀之印,Sovereign Seal,尊耀之印｜Sovereign Seal,https://www.dsdiamond.com.tw/products/男戒12-20250721114449,SRC-0111 | SRC-0121 | SRC-0274 | SRC-0284 | SRC-0365 | SRC-0414 | SRC-0443 | SRC-0553 | SRC-0563 | SRC-0633,男戒,ring-man | 經典男戒,男士鑽戒 | 經典男戒,,,,,4,4,4,sovereign-seal,src/content/products/sovereign-seal.json,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0072,57337051,湛藍晨曦,Azure Aurora,湛藍晨曦｜Azure Aurora,,SRC-0167 | SRC-0303 | SRC-0308,戒指,彩色鑽石專區 | 藍鑽,藍鑽,,,,,0,0,0,azure-aurora,src/content/products/azure-aurora.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0073,58401518,絢麗花語,Blooming Grace,絢麗花語｜Blooming Grace,,SRC-0060 | SRC-0502,項鍊,necklace,項鍊,,,,,0,0,0,blooming-grace,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0074,62712685,黃K金轉運戒 ( 三排 ),,黃K金轉運戒 ( 三排 ),,SRC-0142 | SRC-0310 | SRC-0316 | SRC-0322 | SRC-0328 | SRC-0584,男戒,ring-man | 轉運女戒 | 轉運男戒,轉運女戒 | 轉運男戒,材質/排數變體,,,,0,0,0,黃k金轉運戒-三排,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0075,62712669,黃K金轉運戒 ( 雙排 ),,黃K金轉運戒 ( 雙排 ),,SRC-0143 | SRC-0314 | SRC-0320 | SRC-0326 | SRC-0332 | SRC-0585,男戒,ring-man | 轉運女戒 | 轉運男戒,轉運女戒 | 轉運男戒,材質/排數變體,,,,0,0,0,黃k金轉運戒-雙排,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0076,62421363,黃K金轉運戒(單排),,黃K金轉運戒(單排),,SRC-0315 | SRC-0321 | SRC-0327 | SRC-0333,男戒,轉運女戒 | 轉運男戒,轉運女戒 | 轉運男戒,材質/排數變體,,,,0,0,0,黃k金轉運戒-單排,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0077,58811243,暖曜心語,Amber Promise Glow,暖曜心語｜Amber Promise Glow,,SRC-0153 | SRC-0163 | SRC-0204 | SRC-0336 | SRC-0345 | SRC-0612,戒指,彩色鑽石專區 | 求婚 | 黃鑽,彩色鑽石專區 | 黃鑽,,,,,0,0,0,amber-promise-glow,src/content/products/amber-promise-glow.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0078,57345212,極光之環,Aurora Hoops,極光之環｜Aurora Hoops,,SRC-0027 | SRC-0034,耳環,earring,耳環,,,,,0,0,0,aurora-hoops,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0079,58093837,極光軌跡,Aurora Path,極光軌跡｜Aurora Path,https://www.dsdiamond.com.tw/products/男戒13,SRC-0131 | SRC-0282 | SRC-0292 | SRC-0373 | SRC-0422 | SRC-0451 | SRC-0573 | SRC-0641,男戒,ring-man | 經典男戒,經典男戒,,,本商品價格以18K白K金材質、配鑽可選擇天然鑽石或培育鑽石。此款式依戒圍大小進行報價，戒圍越大所需金屬量與配鑽數量亦相對增加，價格將有所調整，歡迎洽詢專人服務。,,4,4,4,aurora-path,,產品圖片已備份,待 Media Migration Auditor 驗收,
DSP-0080,57337019,極簡星芒,Minimal Radiance,極簡星芒｜Minimal Radiance,,SRC-0205 | SRC-0613,戒指,求婚,戒指,,,,,0,0,0,minimal-radiance,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0081,57338472,稜境之耀,Edge of Radiance,稜境之耀｜Edge of Radiance,,SRC-0135 | SRC-0296 | SRC-0577,男戒,ring-man | 經典男戒,男戒,,,,,0,0,0,edge-of-radiance,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0082,57338475,鉑金轉運戒 ( 三排 ),,鉑金轉運戒 ( 三排 ),,SRC-0136 | SRC-0311 | SRC-0317 | SRC-0323 | SRC-0329 | SRC-0578,男戒,ring-man | 轉運女戒 | 轉運男戒,轉運女戒 | 轉運男戒,材質/排數變體,,,,0,0,0,鉑金轉運戒-三排,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0083,62710381,鉑金轉運戒 ( 單排 ),,鉑金轉運戒 ( 單排 ),,SRC-0137 | SRC-0313 | SRC-0319 | SRC-0325 | SRC-0331 | SRC-0579,男戒,ring-man | 轉運女戒 | 轉運男戒,轉運女戒 | 轉運男戒,材質/排數變體,,,,0,0,0,鉑金轉運戒-單排,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0084,57338476,鉑金轉運戒 ( 雙排 ),,鉑金轉運戒 ( 雙排 ),,SRC-0138 | SRC-0312 | SRC-0318 | SRC-0324 | SRC-0330 | SRC-0580,男戒,ring-man | 轉運女戒 | 轉運男戒,轉運女戒 | 轉運男戒,材質/排數變體,,,,0,0,0,鉑金轉運戒-雙排,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0085,57337049,夢境花綻,Blossom Reverie,夢境花綻｜Blossom Reverie,,SRC-0100 | SRC-0145 | SRC-0155 | SRC-0213 | SRC-0223 | SRC-0263 | SRC-0542,戒指,ring-female | 彩色鑽石專區 | 粉鑽 | 經典女戒,彩色鑽石專區 | 粉鑽,,,,,0,0,0,blossom-reverie,src/content/products/blossom-reverie.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0086,67111534,緋曜格序,Rosé Architectural Halo,緋曜格序｜Rosé Architectural Halo,,SRC-0221 | SRC-0231 | SRC-0381 | SRC-0391,戒指,粉鑽,"粉鑽 | 女士鑽戒, 求婚戒指, 經典女戒, 粉鑽",,,,,0,0,0,rose-architectural-halo,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0087,59069346,緋露晨光,Rosé Dew Radiance,緋露晨光｜Rosé Dew Radiance,,SRC-0172 | SRC-0232,戒指,彩色鑽石專區 | 粉鑽,戒指,,,,,0,0,0,rose-dew-radiance,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0088,57338477,銀耀之冠,Crown of Argent Radiance,銀耀之冠 Crown of Argent Radiance,,SRC-0139 | SRC-0177 | SRC-0297 | SRC-0342 | SRC-0351 | SRC-0581,男戒,ring-man | 彩色鑽石專區 | 經典男戒 | 黃鑽,黃鑽,,,,,0,0,0,crown-of-argent-radiance,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0089,57337026,璀璨星語,Sparkling Whisper,璀璨星語｜Sparkling Whisper,,SRC-0210 | SRC-0618,戒指,求婚,戒指,,,,,0,0,0,sparkling-whisper,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0090,59069317,蝶映粉光,Blush Butterfly Radiance,蝶映粉光｜Blush Butterfly Radiance,,SRC-0175 | SRC-0236,戒指,彩色鑽石專區 | 粉鑽,戒指,,,,,0,0,0,blush-butterfly-radiance,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0091,57338480,鋒耀之冠,Dominion Crest,鋒耀之冠｜Dominion Crest,,SRC-0140 | SRC-0298 | SRC-0582,男戒,ring-man | 經典男戒,男戒,,,,,0,0,0,dominion-crest,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0092,57337052,凝光心羽,Ethereal Heart Petals,凝光心羽｜Ethereal Heart Petals,,SRC-0166 | SRC-0218 | SRC-0228,戒指,彩色鑽石專區 | 粉鑽,粉鑽,,,,,0,0,0,ethereal-heart-petals,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0093,57337020,凝光序曲,Luminous Prelude,凝光序曲｜Luminous Prelude,https://www.dsdiamond.com.tw/products/女戒05,SRC-0096 | SRC-0181 | SRC-0191 | SRC-0259 | SRC-0362 | SRC-0411 | SRC-0440 | SRC-0538 | SRC-0589 | SRC-0599 | SRC-0630,戒指,ring-female | 求婚 | 經典女戒,求婚戒指,,,,,4,4,4,luminous-prelude,src/content/products/luminous-prelude.json,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0094,66996587,靜線之約,Silent Line,靜線之約｜Silent Line,,SRC-0068 | SRC-0075 | SRC-0382 | SRC-0392 | SRC-0510 | SRC-0517,對戒,pair-ring,結婚對戒,,,,,0,0,0,silent-line,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0095,64733345,靜謐之心,Silent Pink Heart,靜謐之心｜Silent Pink Heart,,SRC-0238,戒指,粉鑽,戒指,,,,,0,0,0,silent-pink-heart,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
